Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00719295, 0.00442624, 0.00276471, 0.000127934, 2749, 45141, 4428
0.00853522, 0.00548414, 0.00304918, 0.000107222, 2709, 43924, 4050
0.0277139, 0.0209642, 0.00674782, 0.000139074, 2702, 46909, 5643
0.0114601, 0.00887652, 0.00258109, 0.000107374, 2721, 44632, 4671
0.0110605, 0.00756227, 0.00349654, 0.000132665, 2687, 43857, 3888
0.0084717, 0.00588806, 0.00258149, 0.000120738, 2693, 40780, 4860
0.00829562, 0.00534996, 0.00294335, 0.000127394, 2682, 45324, 5454
0.0131245, 0.00846158, 0.00466073, 0.000125106, 2724, 45184, 4536
0.0073021, 0.00474187, 0.00255789, 0.000126986, 2662, 44268, 4833
0.00936986, 0.00574554, 0.00362197, 9.8514e-05, 2712, 44662, 3699
0.0104286, 0.00610118, 0.00432573, 0.000107243, 2638, 45335, 4320
0.0123455, 0.00896065, 0.00338274, 0.000120198, 2816, 46363, 4482
0.0113043, 0.00554916, 0.0057533, 0.000139655, 2656, 44298, 4050
0.00809263, 0.00528364, 0.00280718, 0.000108611, 2723, 39782, 3699
0.00761433, 0.00423474, 0.00337789, 0.000755627, 2716, 43025, 4644
0.00724338, 0.00427248, 0.00296936, 0.00011238, 2745, 42735, 4374
0.00785514, 0.00463327, 0.00321993, 0.000114023, 2809, 44356, 3915
0.0144593, 0.00911134, 0.00534549, 0.000128478, 2771, 43472, 3996
0.0182135, 0.0160457, 0.00216534, 0.000114439, 2780, 45554, 4158
0.00786688, 0.00519562, 0.00266542, 0.000121241, 2730, 45141, 3942
0.0148917, 0.010978, 0.00391129, 0.000131093, 2808, 45907, 4968
0.00793424, 0.00577195, 0.00215994, 0.00012932, 2765, 46329, 5049
0.00793063, 0.0049857, 0.00294282, 0.000117462, 2780, 45588, 4563
